epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3089,2.79631,4.07346,2.52599,0.00996,0.53649,0.07945,0.0354,2.4814,3.68147,2.25712,0.0671462,0.000165094,0.000165094
2,44.4933,2.20481,3.19903,2.01474,0.48688,0.24376,0.25941,0.15704,1.98447,2.81476,1.85585,0.033973,0.000325192,0.000325192
3,65.5449,2.0032,2.86665,1.857,0.62839,0.32151,0.36429,0.23191,1.72986,2.28753,1.64998,0.000793155,0.00047869,0.00047869
4,84.6557,1.81348,2.59609,1.70504,0.51628,0.36938,0.3974,0.27012,1.60455,2.1128,1.58144,0.0004703,0.0004703,0.0004703
5,104.848,1.76493,2.37167,1.63958,0.59764,0.4123,0.44544,0.30037,1.57046,1.99897,1.5387,0.0004604,0.0004604,0.0004604
6,123.97,1.62919,2.17889,1.56341,0.77645,0.44343,0.51629,0.36039,1.42628,1.79508,1.44064,0.0004505,0.0004505,0.0004505
7,144.108,1.62411,2.09104,1.56538,0.71664,0.49213,0.54574,0.3877,1.32261,1.66746,1.34915,0.0004406,0.0004406,0.0004406
8,163.322,1.56072,2.01023,1.51247,0.71708,0.46036,0.5581,0.39483,1.28678,1.61344,1.32968,0.0004307,0.0004307,0.0004307
9,183.55,1.44762,1.92657,1.463,0.69883,0.54027,0.58269,0.40914,1.30946,1.57993,1.32518,0.0004208,0.0004208,0.0004208
10,202.613,1.45695,1.86176,1.4518,0.67719,0.53493,0.58752,0.4166,1.21811,1.48404,1.2921,0.0004109,0.0004109,0.0004109
11,224.243,1.39773,1.7606,1.41926,0.76758,0.51334,0.60011,0.43004,1.26344,1.47821,1.30158,0.000401,0.000401,0.000401
12,243.37,1.39741,1.70799,1.408,0.81614,0.53866,0.63253,0.45384,1.1663,1.4198,1.24385,0.0003911,0.0003911,0.0003911
13,263.642,1.31528,1.58563,1.35183,0.77171,0.57449,0.64355,0.46667,1.19072,1.35814,1.24727,0.0003812,0.0003812,0.0003812
14,282.701,1.2899,1.55054,1.33643,0.7753,0.62848,0.67363,0.48757,1.17805,1.32142,1.22815,0.0003713,0.0003713,0.0003713
15,302.772,1.26573,1.48069,1.31249,0.82347,0.59712,0.67365,0.48869,1.17208,1.29456,1.2181,0.0003614,0.0003614,0.0003614
16,321.882,1.26875,1.47247,1.2988,0.69998,0.62031,0.65977,0.4921,1.10052,1.23492,1.17986,0.0003515,0.0003515,0.0003515
17,342.165,1.22473,1.44339,1.28567,0.77226,0.62223,0.68098,0.5029,1.10683,1.25083,1.17633,0.0003416,0.0003416,0.0003416
18,361.122,1.25592,1.4149,1.30719,0.81701,0.62006,0.68686,0.50169,1.10113,1.18936,1.16691,0.0003317,0.0003317,0.0003317
19,381.035,1.21272,1.34652,1.27634,0.85633,0.59012,0.70096,0.5211,1.07412,1.15447,1.15055,0.0003218,0.0003218,0.0003218
20,400.284,1.19447,1.33553,1.27236,0.85832,0.62003,0.71206,0.53256,1.06161,1.15228,1.13767,0.0003119,0.0003119,0.0003119
21,419.401,1.22235,1.35113,1.27678,0.74889,0.68261,0.70423,0.52582,1.069,1.18427,1.13502,0.000302,0.000302,0.000302
22,438.916,1.17856,1.32749,1.24277,0.79519,0.63276,0.71092,0.53387,1.04604,1.1309,1.12185,0.0002921,0.0002921,0.0002921
23,458.356,1.16955,1.27752,1.24013,0.82336,0.64879,0.72903,0.55095,1.03667,1.07696,1.10847,0.0002822,0.0002822,0.0002822
24,479.517,1.13022,1.22486,1.22205,0.84287,0.67277,0.72941,0.55544,1.02202,1.05725,1.1078,0.0002723,0.0002723,0.0002723
25,499.145,1.14427,1.21777,1.22099,0.83896,0.67296,0.73425,0.55355,1.01978,1.09776,1.10766,0.0002624,0.0002624,0.0002624
26,518.357,1.14489,1.24664,1.22356,0.84091,0.68778,0.74484,0.55921,1.01394,1.05805,1.09581,0.0002525,0.0002525,0.0002525
27,537.576,1.10697,1.17416,1.22071,0.85967,0.64644,0.73434,0.55281,1.01506,1.05995,1.09915,0.0002426,0.0002426,0.0002426
28,557.391,1.10331,1.17264,1.20396,0.82208,0.68624,0.74622,0.55554,0.99735,1.05294,1.08351,0.0002327,0.0002327,0.0002327
29,576.742,1.07778,1.17768,1.19137,0.8778,0.6497,0.74716,0.5688,0.99171,1.06496,1.0925,0.0002228,0.0002228,0.0002228
30,597.047,1.08371,1.16109,1.18954,0.88039,0.69135,0.76013,0.59149,0.9634,1.01248,1.07594,0.0002129,0.0002129,0.0002129
31,615.784,1.05462,1.11253,1.17125,0.84604,0.68037,0.75438,0.58772,0.98724,1.0193,1.08367,0.000203,0.000203,0.000203
32,635.645,1.06995,1.15776,1.18718,0.87882,0.71532,0.77761,0.59838,0.98941,0.99277,1.08078,0.0001931,0.0001931,0.0001931
33,654.467,1.03976,1.08778,1.17091,0.8394,0.71507,0.76964,0.59214,0.94347,0.96865,1.06478,0.0001832,0.0001832,0.0001832
34,675.407,1.02905,1.07982,1.16603,0.83173,0.731,0.77019,0.59294,0.96356,0.9578,1.06674,0.0001733,0.0001733,0.0001733
35,694.599,1.01779,1.03341,1.15829,0.82833,0.71819,0.77308,0.59094,0.96074,0.97354,1.06847,0.0001634,0.0001634,0.0001634
36,715.737,1.06961,1.10173,1.17609,0.87891,0.70016,0.77824,0.59595,0.94588,0.92868,1.06358,0.0001535,0.0001535,0.0001535
37,734.536,1.02803,1.05301,1.14814,0.8436,0.71556,0.7686,0.58268,0.92338,0.95628,1.04956,0.0001436,0.0001436,0.0001436
38,754.358,1.03286,1.04732,1.16479,0.85778,0.71948,0.77692,0.59957,0.90276,0.91424,1.04419,0.0001337,0.0001337,0.0001337
39,773.228,0.98458,0.9995,1.1484,0.93742,0.66936,0.78238,0.60799,0.90884,0.92865,1.04473,0.0001238,0.0001238,0.0001238
40,793.211,1.00634,1.03416,1.14848,0.87769,0.7064,0.78664,0.60538,0.91307,0.93088,1.04413,0.0001139,0.0001139,0.0001139
41,813.13,0.86652,0.85517,1.07258,0.83052,0.73797,0.79483,0.61061,0.91015,0.89896,1.04107,0.000104,0.000104,0.000104
42,834.937,0.85892,0.82359,1.05564,0.8753,0.72033,0.79243,0.61158,0.89127,0.90874,1.03759,9.41e-05,9.41e-05,9.41e-05
43,854.476,0.88523,0.83651,1.08217,0.85867,0.74833,0.79494,0.61304,0.88734,0.89418,1.02816,8.42e-05,8.42e-05,8.42e-05
44,874.149,0.85167,0.86163,1.06545,0.86993,0.74181,0.7953,0.61484,0.90369,0.89754,1.03614,7.43e-05,7.43e-05,7.43e-05
45,893.213,0.84426,0.79623,1.05717,0.9057,0.72276,0.79835,0.61605,0.88951,0.8857,1.02998,6.44e-05,6.44e-05,6.44e-05
46,912.733,0.83619,0.8135,1.04659,0.88385,0.72815,0.80159,0.61456,0.8783,0.88556,1.02719,5.45e-05,5.45e-05,5.45e-05
47,931.908,0.85424,0.81108,1.05811,0.85402,0.73831,0.79937,0.61668,0.87997,0.88702,1.02979,4.46e-05,4.46e-05,4.46e-05
48,953.3,0.82436,0.77245,1.04402,0.85436,0.74711,0.79642,0.62031,0.87825,0.87948,1.0255,3.47e-05,3.47e-05,3.47e-05
49,972.192,0.82844,0.77011,1.04335,0.88345,0.73392,0.79761,0.61942,0.888,0.88062,1.02589,2.48e-05,2.48e-05,2.48e-05
50,992.164,0.86381,0.79926,1.06381,0.89387,0.72915,0.79699,0.62134,0.88346,0.87978,1.02289,1.49e-05,1.49e-05,1.49e-05
