epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8961,1.07083,2.36061,1.26047,0.68204,0.37318,0.56582,0.39255,1.14066,2.25372,1.22475,0.0676226,0.000327044,0.000327044
2,46.6991,1.02596,1.38152,1.20404,0.54667,0.48021,0.49267,0.33724,1.20412,2.05289,1.31364,0.0346096,0.000647302,0.000647302
3,65.7414,1.02515,1.27332,1.2009,0.7302,0.67551,0.7075,0.46187,1.17345,3.64408,1.26053,0.00158329,0.00095436,0.00095436
4,86.1008,1.03735,1.16178,1.16946,0.65548,0.57676,0.60973,0.3985,1.14816,2.17283,1.24932,0.0009406,0.0009406,0.0009406
5,104.516,1.0276,1.09994,1.17849,0.78661,0.67975,0.73545,0.55214,0.97347,2.22656,1.09329,0.0009208,0.0009208,0.0009208
6,123.378,0.95919,1.02355,1.14497,0.85446,0.75585,0.81444,0.63221,0.88024,1.07371,1.04984,0.000901,0.000901,0.000901
7,142.624,0.93992,0.93969,1.12568,0.83665,0.76605,0.83751,0.6487,0.89052,1.04668,1.08285,0.0008812,0.0008812,0.0008812
8,161.443,0.90816,0.91768,1.10709,0.87304,0.734,0.81185,0.65217,0.76555,1.07119,0.99482,0.0008614,0.0008614,0.0008614
9,182.186,0.89191,0.90782,1.10037,0.92743,0.76387,0.84629,0.68442,0.82546,0.94105,1.00236,0.0008416,0.0008416,0.0008416
10,201.186,0.88007,0.90217,1.09858,0.92308,0.76838,0.8596,0.68598,0.82204,0.84692,0.99367,0.0008218,0.0008218,0.0008218
11,220.885,0.84074,0.84879,1.06921,0.89342,0.7435,0.81238,0.65323,0.82916,0.97184,1.03522,0.000802,0.000802,0.000802
12,239.428,0.80717,0.80866,1.05626,0.91621,0.79832,0.87782,0.6958,0.77862,0.86594,0.96837,0.0007822,0.0007822,0.0007822
13,258.708,0.81914,0.78235,1.04786,0.86321,0.69799,0.79466,0.63796,0.81617,1.13363,1.01475,0.0007624,0.0007624,0.0007624
14,277.584,0.81979,0.7839,1.05526,0.92341,0.78111,0.84532,0.7068,0.71242,0.90059,0.98758,0.0007426,0.0007426,0.0007426
15,296.426,0.7604,0.70332,1.0314,0.92398,0.86125,0.90831,0.75141,0.65837,0.6886,0.92452,0.0007228,0.0007228,0.0007228
16,315.697,0.74641,0.71551,1.03477,0.9506,0.82235,0.90609,0.7565,0.68962,0.65895,0.95113,0.000703,0.000703,0.000703
17,334.285,0.69853,0.6829,1.00305,0.94649,0.84497,0.91841,0.79233,0.58788,0.58805,0.88474,0.0006832,0.0006832,0.0006832
18,353.747,0.69927,0.66789,1.00326,0.93937,0.79502,0.87356,0.73024,0.69938,0.78906,0.95441,0.0006634,0.0006634,0.0006634
19,372.294,0.70109,0.64261,0.99202,0.9035,0.88387,0.91963,0.77365,0.62659,0.58593,0.89208,0.0006436,0.0006436,0.0006436
20,391.684,0.68227,0.6051,0.99211,0.89639,0.87161,0.90769,0.77901,0.60278,0.61408,0.9178,0.0006238,0.0006238,0.0006238
21,410.083,0.63311,0.56968,0.97111,0.95794,0.85177,0.92068,0.80087,0.61574,0.59786,0.90037,0.000604,0.000604,0.000604
22,428.743,0.64745,0.56866,0.9636,0.95952,0.83233,0.89706,0.775,0.60799,0.6728,0.88684,0.0005842,0.0005842,0.0005842
23,448.988,0.64148,0.59596,0.96792,0.94324,0.87095,0.92622,0.80085,0.58704,0.57392,0.88498,0.0005644,0.0005644,0.0005644
24,467.59,0.64027,0.56936,0.97983,0.93036,0.90217,0.94101,0.80968,0.56944,0.5136,0.8842,0.0005446,0.0005446,0.0005446
25,487.087,0.62415,0.54432,0.96448,0.97481,0.83167,0.91638,0.79989,0.57967,0.57681,0.89392,0.0005248,0.0005248,0.0005248
26,505.354,0.61719,0.5558,0.95753,0.9466,0.88539,0.93568,0.82,0.53404,0.50397,0.86267,0.000505,0.000505,0.000505
27,524.901,0.5876,0.53027,0.93864,0.9284,0.89742,0.9136,0.80243,0.55239,0.56441,0.87588,0.0004852,0.0004852,0.0004852
28,543.361,0.59301,0.52044,0.94469,0.9683,0.85379,0.91873,0.81207,0.51805,0.5649,0.85578,0.0004654,0.0004654,0.0004654
29,562.394,0.5821,0.49626,0.93548,0.97212,0.85081,0.92143,0.82227,0.52939,0.51275,0.86644,0.0004456,0.0004456,0.0004456
30,581.401,0.56137,0.49317,0.92287,0.96445,0.87893,0.9274,0.8194,0.52822,0.49585,0.86292,0.0004258,0.0004258,0.0004258
31,599.64,0.54474,0.46108,0.91963,0.93595,0.87787,0.93032,0.82375,0.52345,0.48974,0.86349,0.000406,0.000406,0.000406
32,618.988,0.5521,0.46255,0.92371,0.95453,0.88959,0.9406,0.83175,0.5145,0.46117,0.8523,0.0003862,0.0003862,0.0003862
33,637.534,0.55313,0.46717,0.9287,0.96899,0.89902,0.94062,0.83937,0.51071,0.4758,0.85643,0.0003664,0.0003664,0.0003664
34,657.023,0.55743,0.48115,0.93362,0.95291,0.89553,0.93116,0.83575,0.508,0.49144,0.85345,0.0003466,0.0003466,0.0003466
35,675.583,0.52946,0.45565,0.9218,0.96689,0.88646,0.94069,0.84701,0.50271,0.44607,0.84432,0.0003268,0.0003268,0.0003268
36,694.892,0.49197,0.41276,0.89589,0.97515,0.88445,0.93538,0.83958,0.48149,0.45683,0.83772,0.000307,0.000307,0.000307
37,714.283,0.51741,0.42636,0.91094,0.98471,0.87935,0.93857,0.83746,0.491,0.45454,0.84844,0.0002872,0.0002872,0.0002872
38,732.589,0.501,0.42056,0.91587,0.94356,0.90811,0.9411,0.8477,0.46123,0.42963,0.83551,0.0002674,0.0002674,0.0002674
39,752.209,0.48055,0.40638,0.89699,0.98882,0.89055,0.94771,0.85251,0.46998,0.43131,0.83723,0.0002476,0.0002476,0.0002476
40,770.832,0.48411,0.40039,0.90184,0.98051,0.90221,0.94888,0.85834,0.45062,0.4141,0.83343,0.0002278,0.0002278,0.0002278
41,792.398,0.42944,0.34652,0.86603,0.98347,0.89,0.93843,0.86076,0.45115,0.42285,0.82721,0.000208,0.000208,0.000208
42,811.206,0.42113,0.33605,0.86635,0.97247,0.90399,0.93704,0.85652,0.44185,0.41363,0.82612,0.0001882,0.0001882,0.0001882
43,830.545,0.41651,0.34352,0.86715,0.97691,0.90423,0.94152,0.85524,0.43448,0.39585,0.81963,0.0001684,0.0001684,0.0001684
44,849.068,0.41599,0.3426,0.86979,0.97028,0.9119,0.94704,0.87034,0.4124,0.3801,0.81177,0.0001486,0.0001486,0.0001486
45,867.753,0.38941,0.3167,0.85333,0.97894,0.90869,0.95028,0.87741,0.39959,0.37939,0.80746,0.0001288,0.0001288,0.0001288
46,886.962,0.38112,0.3093,0.85032,0.98211,0.90734,0.9496,0.88223,0.39344,0.3711,0.80369,0.000109,0.000109,0.000109
47,905.482,0.39934,0.32041,0.85057,0.97216,0.91025,0.95245,0.88396,0.39357,0.36101,0.80822,8.92e-05,8.92e-05,8.92e-05
48,924.68,0.37767,0.29683,0.84685,0.98207,0.90939,0.95457,0.88328,0.38736,0.35221,0.80332,6.94e-05,6.94e-05,6.94e-05
49,943.192,0.36419,0.28785,0.83744,0.98565,0.91243,0.95419,0.88848,0.379,0.34573,0.80118,4.96e-05,4.96e-05,4.96e-05
50,963.411,0.35757,0.28585,0.83943,0.98516,0.91243,0.95316,0.88302,0.37523,0.34838,0.8,2.98e-05,2.98e-05,2.98e-05
