epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2409.27,0.56942,0.51195,1.01719,0.95756,0.90739,0.94063,0.84888,0.49925,0.46761,0.92863,0.0005941,0.0005941,0.0005941
43,2465.34,0.5546,0.49113,1.0112,0.96677,0.89953,0.94234,0.85318,0.50872,0.49724,0.9349,0.0005842,0.0005842,0.0005842
44,2527.46,0.5741,0.5016,1.02791,0.95358,0.90603,0.94205,0.84902,0.49413,0.49654,0.94491,0.0005743,0.0005743,0.0005743
45,2583.18,0.56081,0.49905,1.0073,0.96556,0.88348,0.94266,0.85696,0.4804,0.47057,0.9134,0.0005644,0.0005644,0.0005644
46,2644.33,0.55638,0.46732,1.01182,0.96322,0.90469,0.93678,0.83653,0.525,0.50336,0.9477,0.0005545,0.0005545,0.0005545
47,2701.45,0.54868,0.47743,1.0108,0.96755,0.88989,0.93923,0.8354,0.49515,0.52264,0.95129,0.0005446,0.0005446,0.0005446
48,2757.95,0.54835,0.47679,1.00032,0.96032,0.9068,0.94097,0.84388,0.46612,0.4629,0.92434,0.0005347,0.0005347,0.0005347
49,2813.82,0.54935,0.47488,1.01398,0.97676,0.89133,0.94476,0.85526,0.47538,0.45555,0.91366,0.0005248,0.0005248,0.0005248
50,2870.03,0.52891,0.45404,0.99273,0.95764,0.89631,0.93846,0.85073,0.46307,0.45147,0.90526,0.0005149,0.0005149,0.0005149
51,2925.95,0.51827,0.43946,0.98706,0.9621,0.90976,0.94065,0.86425,0.44366,0.47943,0.89999,0.000505,0.000505,0.000505
52,2983.56,0.51941,0.46108,0.99077,0.97974,0.89267,0.93457,0.84702,0.47146,0.52911,0.93333,0.0004951,0.0004951,0.0004951
53,3039.41,0.51532,0.45258,0.98857,0.95886,0.91505,0.9403,0.86003,0.47106,0.5026,0.93051,0.0004852,0.0004852,0.0004852
54,3095.91,0.50123,0.42863,0.97668,0.99041,0.89965,0.94424,0.86358,0.47544,0.50807,0.92388,0.0004753,0.0004753,0.0004753
55,3151.7,0.49268,0.41248,0.97175,0.97953,0.88765,0.93838,0.86319,0.45731,0.4645,0.91068,0.0004654,0.0004654,0.0004654
56,3207.68,0.48956,0.41351,0.97084,0.94062,0.90145,0.94366,0.86001,0.46529,0.44661,0.92502,0.0004555,0.0004555,0.0004555
57,3264.03,0.47598,0.42022,0.96112,0.97482,0.88802,0.94045,0.86109,0.47775,0.50322,0.91586,0.0004456,0.0004456,0.0004456
58,3320.12,0.50835,0.42679,0.98393,0.97652,0.90783,0.95065,0.87173,0.47894,0.45265,0.91654,0.0004357,0.0004357,0.0004357
59,3381.57,0.49144,0.42331,0.9674,0.97549,0.90244,0.94062,0.8598,0.49303,0.52314,0.91903,0.0004258,0.0004258,0.0004258
60,3437.53,0.48058,0.40434,0.97323,0.97884,0.91088,0.95252,0.86476,0.46233,0.44576,0.91606,0.0004159,0.0004159,0.0004159
61,3493.89,0.46759,0.40347,0.95735,0.97012,0.88104,0.94543,0.86594,0.4458,0.46245,0.90536,0.000406,0.000406,0.000406
62,3549.71,0.47351,0.40421,0.96349,0.99054,0.89903,0.95011,0.87502,0.41281,0.39899,0.87912,0.0003961,0.0003961,0.0003961
63,3607.64,0.46756,0.39442,0.95974,0.97146,0.9103,0.94918,0.86692,0.45552,0.42507,0.89746,0.0003862,0.0003862,0.0003862
64,3663.46,0.4736,0.3989,0.96429,0.95526,0.91586,0.94987,0.87798,0.42085,0.4491,0.88112,0.0003763,0.0003763,0.0003763
65,3725.85,0.4616,0.40588,0.95755,0.96227,0.90111,0.94687,0.87226,0.43029,0.48017,0.89242,0.0003664,0.0003664,0.0003664
66,3781.87,0.44507,0.39333,0.94395,0.96293,0.91452,0.95466,0.87619,0.43897,0.40455,0.89574,0.0003565,0.0003565,0.0003565
67,3838.46,0.46117,0.38725,0.95578,0.98006,0.89106,0.94695,0.87379,0.41173,0.41144,0.88487,0.0003466,0.0003466,0.0003466
68,3894.25,0.45467,0.38858,0.95712,0.98607,0.9243,0.95532,0.87964,0.424,0.37548,0.89582,0.0003367,0.0003367,0.0003367
69,3955.68,0.44462,0.38888,0.95505,0.98982,0.91236,0.9504,0.8644,0.43446,0.42316,0.89268,0.0003268,0.0003268,0.0003268
70,4011.58,0.43656,0.3783,0.9411,0.98246,0.89936,0.94264,0.87045,0.4177,0.44941,0.88391,0.0003169,0.0003169,0.0003169
71,4068.13,0.43753,0.37312,0.93659,0.951,0.91573,0.94285,0.87473,0.41385,0.43709,0.88218,0.000307,0.000307,0.000307
72,4124.26,0.43682,0.37512,0.94556,0.96817,0.91518,0.93956,0.87631,0.40446,0.40215,0.88505,0.0002971,0.0002971,0.0002971
73,4180.97,0.44058,0.37402,0.94566,0.99176,0.88838,0.94244,0.87638,0.38992,0.40584,0.8715,0.0002872,0.0002872,0.0002872
74,4236.9,0.43587,0.37004,0.93794,0.98499,0.89483,0.94373,0.87765,0.39716,0.43259,0.88607,0.0002773,0.0002773,0.0002773
75,4292.85,0.413,0.35358,0.92412,0.98504,0.89925,0.94148,0.8764,0.38802,0.41307,0.87469,0.0002674,0.0002674,0.0002674
76,4349.21,0.43187,0.36813,0.9422,0.98661,0.90341,0.94285,0.87844,0.39652,0.39887,0.87465,0.0002575,0.0002575,0.0002575
77,4405.29,0.42807,0.36016,0.9444,0.97149,0.90914,0.94671,0.87206,0.41037,0.3869,0.88473,0.0002476,0.0002476,0.0002476
78,4461.58,0.41384,0.35098,0.92726,0.98435,0.91319,0.9537,0.88308,0.41956,0.38854,0.88371,0.0002377,0.0002377,0.0002377
79,4518.42,0.42474,0.35426,0.94642,0.97691,0.90775,0.95038,0.89058,0.38508,0.39395,0.86774,0.0002278,0.0002278,0.0002278
80,4579.87,0.41443,0.3483,0.92693,0.97591,0.91874,0.94812,0.88678,0.38811,0.37909,0.86638,0.0002179,0.0002179,0.0002179
81,4636.59,0.41085,0.34218,0.93224,0.98039,0.90879,0.94292,0.87768,0.38521,0.43105,0.86594,0.000208,0.000208,0.000208
82,4692.95,0.41723,0.36965,0.94082,0.9973,0.89077,0.94351,0.87782,0.38377,0.44475,0.86629,0.0001981,0.0001981,0.0001981
83,4748.92,0.38702,0.32784,0.91453,0.98992,0.90778,0.95304,0.88944,0.39024,0.39829,0.87911,0.0001882,0.0001882,0.0001882
84,4805.52,0.39619,0.33209,0.92704,0.98778,0.91392,0.95204,0.88487,0.38892,0.38224,0.87594,0.0001783,0.0001783,0.0001783
