epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1685,0.99359,1.97305,1.22227,0.70323,0.59312,0.7008,0.58539,0.6993,1.41073,0.93977,0.0671462,0.000165094,0.000165094
2,47.1363,0.90872,1.25411,1.14359,0.78359,0.69742,0.76949,0.63065,0.69028,1.24048,0.94581,0.033973,0.000325192,0.000325192
3,66.0429,0.86685,1.08118,1.10971,0.90392,0.77194,0.87285,0.72818,0.6946,0.87929,0.94164,0.000793155,0.00047869,0.00047869
4,87.7148,0.84154,0.94044,1.07902,0.88653,0.84416,0.892,0.736,0.69897,0.83691,0.9162,0.0004703,0.0004703,0.0004703
5,106.808,0.83792,0.92506,1.0658,0.89391,0.86238,0.90773,0.74103,0.69731,0.7922,0.92208,0.0004604,0.0004604,0.0004604
6,127.505,0.78641,0.84216,1.05165,0.87236,0.86104,0.90344,0.76576,0.64301,0.72193,0.89836,0.0004505,0.0004505,0.0004505
7,146.625,0.7933,0.78957,1.03859,0.94523,0.84035,0.91401,0.75979,0.66322,0.66742,0.91076,0.0004406,0.0004406,0.0004406
8,167.022,0.76439,0.74254,1.03006,0.94849,0.87105,0.92247,0.78824,0.59158,0.62634,0.88081,0.0004307,0.0004307,0.0004307
9,187.353,0.72499,0.71457,1.02111,0.91457,0.89035,0.90179,0.77018,0.64443,0.6671,0.89819,0.0004208,0.0004208,0.0004208
10,207.602,0.70389,0.69775,1.01029,0.89534,0.86358,0.91384,0.79216,0.57724,0.63914,0.87101,0.0004109,0.0004109,0.0004109
11,226.589,0.70284,0.67094,0.99668,0.92581,0.90457,0.92945,0.79109,0.61237,0.62561,0.89194,0.000401,0.000401,0.000401
12,246.813,0.67687,0.65102,1.00273,0.9392,0.89361,0.93134,0.80025,0.56235,0.58022,0.87848,0.0003911,0.0003911,0.0003911
