epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1329.71,0.62239,0.58044,1.04685,0.98783,0.87854,0.9357,0.8167,0.52732,0.49435,0.95993,0.000445575,0.000445575,0.000445575
43,1360.22,0.57145,0.53357,1.02091,0.98356,0.89794,0.94153,0.83803,0.4884,0.45987,0.92503,0.00043815,0.00043815,0.00043815
44,1390.82,0.60991,0.53313,1.05293,0.96171,0.90377,0.94035,0.84675,0.4945,0.46109,0.93924,0.000430725,0.000430725,0.000430725
45,1427.29,0.62786,0.55879,1.04976,0.97635,0.91249,0.94692,0.83962,0.50709,0.46661,0.9484,0.0004233,0.0004233,0.0004233
46,1458.57,0.60407,0.55848,1.03667,0.96112,0.88929,0.93878,0.83447,0.51983,0.49336,0.97814,0.000415875,0.000415875,0.000415875
47,1488.86,0.59595,0.55446,1.04689,0.9686,0.9035,0.94058,0.83855,0.48783,0.47979,0.93407,0.00040845,0.00040845,0.00040845
48,1519.25,0.6107,0.54534,1.0524,0.93828,0.89862,0.9229,0.81402,0.5176,0.53399,0.9732,0.000401025,0.000401025,0.000401025
49,1550.06,0.61626,0.53545,1.04704,0.9763,0.90216,0.93831,0.84116,0.48552,0.47056,0.93728,0.0003936,0.0003936,0.0003936
50,1580.2,0.59712,0.57259,1.02899,0.95519,0.87023,0.92368,0.82397,0.50244,0.52608,0.94989,0.000386175,0.000386175,0.000386175
51,1612.09,0.56645,0.52563,1.01083,0.97886,0.90354,0.94885,0.85126,0.46849,0.4397,0.92849,0.00037875,0.00037875,0.00037875
52,1646.63,0.60951,0.54608,1.03587,0.97507,0.89747,0.94738,0.85574,0.4591,0.45094,0.92812,0.000371325,0.000371325,0.000371325
53,1682.5,0.57459,0.50944,1.0205,0.9497,0.89417,0.93594,0.83229,0.5032,0.49129,0.95148,0.0003639,0.0003639,0.0003639
54,1712.94,0.55964,0.49964,1.00416,0.9732,0.89613,0.94892,0.85793,0.45563,0.43642,0.92226,0.000356475,0.000356475,0.000356475
55,1744.46,0.57361,0.5303,1.02411,0.97433,0.91208,0.95285,0.86224,0.44713,0.4128,0.91515,0.00034905,0.00034905,0.00034905
56,1775.62,0.57046,0.51032,1.01791,0.96595,0.91946,0.94682,0.86683,0.44043,0.41916,0.90395,0.000341625,0.000341625,0.000341625
57,1811.7,0.56434,0.51035,1.00967,0.97568,0.8991,0.94686,0.86125,0.46314,0.42758,0.9082,0.0003342,0.0003342,0.0003342
58,1842.53,0.55462,0.48618,1.00167,0.98373,0.90032,0.95148,0.87468,0.43381,0.4028,0.89538,0.000326775,0.000326775,0.000326775
59,1874.12,0.53905,0.46285,1.00399,0.97418,0.89911,0.95014,0.86841,0.45367,0.42019,0.91834,0.00031935,0.00031935,0.00031935
60,1904.61,0.53935,0.4684,1.00214,0.99552,0.89519,0.94828,0.86887,0.42092,0.41406,0.88567,0.000311925,0.000311925,0.000311925
61,1935.39,0.54755,0.4836,1.00286,0.98954,0.91934,0.93987,0.87068,0.41933,0.40589,0.89694,0.0003045,0.0003045,0.0003045
62,1966.21,0.53574,0.48213,0.99374,0.98223,0.92108,0.94885,0.85961,0.4334,0.40903,0.91707,0.000297075,0.000297075,0.000297075
63,1996.98,0.53005,0.47093,0.98337,0.97351,0.90957,0.9511,0.86782,0.42693,0.42431,0.88768,0.00028965,0.00028965,0.00028965
64,2027.75,0.51161,0.45447,0.97527,0.97365,0.90336,0.95242,0.8766,0.40568,0.41396,0.88248,0.000282225,0.000282225,0.000282225
65,2064.15,0.53283,0.46629,0.99834,0.98602,0.90951,0.95458,0.87283,0.42047,0.40551,0.88044,0.0002748,0.0002748,0.0002748
66,2094.56,0.54802,0.4741,1.00332,0.99614,0.91387,0.94978,0.8766,0.40896,0.40989,0.87833,0.000267375,0.000267375,0.000267375
67,2125.12,0.52921,0.46132,0.99454,0.99588,0.91051,0.95222,0.87378,0.40666,0.39942,0.88693,0.00025995,0.00025995,0.00025995
68,2155.63,0.51418,0.45259,0.99096,0.97194,0.92939,0.95795,0.88373,0.40239,0.37056,0.87971,0.000252525,0.000252525,0.000252525
69,2186.79,0.50184,0.44736,0.97712,0.99509,0.89849,0.94568,0.87221,0.41206,0.39551,0.87947,0.0002451,0.0002451,0.0002451
70,2217,0.52565,0.46931,0.98654,0.99461,0.91208,0.94567,0.87114,0.41315,0.40977,0.88442,0.000237675,0.000237675,0.000237675
71,2247.61,0.5154,0.44962,0.98432,0.98754,0.91807,0.94905,0.87384,0.40168,0.3905,0.87657,0.00023025,0.00023025,0.00023025
72,2278.26,0.49514,0.45179,0.96761,0.99395,0.91199,0.95011,0.87476,0.41649,0.3843,0.87529,0.000222825,0.000222825,0.000222825
73,2309.29,0.47322,0.41689,0.9672,0.97404,0.91906,0.94796,0.88473,0.3765,0.38289,0.86921,0.0002154,0.0002154,0.0002154
74,2339.83,0.48868,0.42785,0.96802,0.97242,0.9183,0.95428,0.88407,0.38968,0.37411,0.86526,0.000207975,0.000207975,0.000207975
75,2370.32,0.50225,0.4411,0.98316,0.97273,0.9188,0.95377,0.88586,0.3775,0.37354,0.86753,0.00020055,0.00020055,0.00020055
76,2405.4,0.48147,0.43453,0.97407,0.97507,0.91706,0.9523,0.87863,0.39603,0.39273,0.8718,0.000193125,0.000193125,0.000193125
77,2436.59,0.48091,0.43961,0.97009,0.987,0.90533,0.9509,0.88513,0.39087,0.3817,0.86969,0.0001857,0.0001857,0.0001857
78,2467.08,0.47946,0.42819,0.9639,0.99164,0.90326,0.952,0.8875,0.40471,0.40967,0.87485,0.000178275,0.000178275,0.000178275
79,2502.37,0.47122,0.40777,0.96641,0.98528,0.91307,0.95484,0.89055,0.38502,0.37436,0.86945,0.00017085,0.00017085,0.00017085
80,2537.14,0.47163,0.41831,0.9506,0.96942,0.92902,0.95386,0.89331,0.38193,0.36181,0.86344,0.000163425,0.000163425,0.000163425
81,2570.2,0.45992,0.39995,0.95849,0.99287,0.91773,0.95472,0.89031,0.37528,0.34897,0.86146,0.000156,0.000156,0.000156
82,2601.17,0.45134,0.40006,0.9468,0.9722,0.94297,0.95706,0.88643,0.39243,0.35145,0.86851,0.000148575,0.000148575,0.000148575
83,2632.11,0.4375,0.3799,0.95363,0.97829,0.91809,0.95532,0.89136,0.38299,0.35758,0.87393,0.00014115,0.00014115,0.00014115
84,2662.38,0.46346,0.39175,0.95538,0.99163,0.90582,0.95708,0.88725,0.37847,0.34712,0.86168,0.000133725,0.000133725,0.000133725
85,2693.24,0.45587,0.38603,0.94669,0.9931,0.9194,0.96199,0.90548,0.34679,0.32345,0.84632,0.0001263,0.0001263,0.0001263
86,2729.37,0.44829,0.37354,0.95243,0.98886,0.92697,0.96102,0.89561,0.35505,0.33254,0.8468,0.000118875,0.000118875,0.000118875
87,2760.25,0.44406,0.37515,0.94697,0.98573,0.91692,0.95981,0.89507,0.36933,0.33262,0.85606,0.00011145,0.00011145,0.00011145
88,2790.36,0.42866,0.36932,0.93318,0.97283,0.9267,0.96007,0.89874,0.36587,0.33457,0.85347,0.000104025,0.000104025,0.000104025
89,2821.17,0.44571,0.38903,0.95678,0.97965,0.92741,0.95984,0.90566,0.3499,0.33273,0.84468,9.66e-05,9.66e-05,9.66e-05
90,2851.57,0.42815,0.36555,0.94097,0.98942,0.92132,0.9615,0.90829,0.34545,0.3235,0.84276,8.9175e-05,8.9175e-05,8.9175e-05
91,2883.99,0.2965,0.24478,0.83966,0.98607,0.92735,0.95936,0.90472,0.34336,0.3355,0.83909,8.175e-05,8.175e-05,8.175e-05
92,2914.72,0.28447,0.23578,0.83017,0.98251,0.92461,0.96101,0.90899,0.33858,0.33711,0.83939,7.4325e-05,7.4325e-05,7.4325e-05
93,2945.47,0.27651,0.23477,0.81175,0.98853,0.91027,0.95752,0.89926,0.34577,0.33565,0.84068,6.69e-05,6.69e-05,6.69e-05
94,2975.91,0.29443,0.237,0.83467,0.98721,0.91073,0.95724,0.90445,0.33676,0.32691,0.83816,5.9475e-05,5.9475e-05,5.9475e-05
95,3005.98,0.2814,0.22524,0.82996,0.97498,0.91585,0.95891,0.90838,0.332,0.31997,0.83615,5.205e-05,5.205e-05,5.205e-05
96,3036.01,0.26816,0.21924,0.82919,0.97624,0.91674,0.96013,0.90451,0.32979,0.32334,0.83505,4.4625e-05,4.4625e-05,4.4625e-05
97,3066.78,0.26689,0.21033,0.828,0.99015,0.91149,0.96188,0.9108,0.32866,0.32061,0.83454,3.72e-05,3.72e-05,3.72e-05
98,3102.2,0.26599,0.21147,0.82598,0.9856,0.91537,0.96188,0.91191,0.33385,0.33175,0.83676,2.9775e-05,2.9775e-05,2.9775e-05
99,3137.08,0.26144,0.20361,0.81606,0.98447,0.9224,0.96239,0.91065,0.3349,0.33166,0.83924,2.235e-05,2.235e-05,2.235e-05
100,3168.88,0.26915,0.20851,0.82456,0.98323,0.92354,0.96213,0.9123,0.33277,0.32894,0.83835,1.4925e-05,1.4925e-05,1.4925e-05
